playerID,candidate,inducted,inducted_percent,max_percent,avg,obp,slp,ops,so_percent,G,AB,R,H,HR,RBI,SB,BB,W_team,L_team,W_team_percent,Div_w,Lg_w,WS_w,avg_post,obp_post,slp_post,ops_post,so_percent_post,G_post,AB_post,R_post,H_post,HR_post,RBI_post,SB_post,BB_post,GP_allstar,startingPos_allstar,Triple_Crown,Most_Valuable_Player,Rookie_of_the_Year,Babe_Ruth_Award,Lou_Gehrig_Memorial_Award,World_Series_MVP,Gold_Glove,All-Star_Game_MVP,Hutch_Award,Roberto_Clemente_Award,NLCS_MVP,ALCS_MVP,Silver_Slugger,Hank_Aaron_Award,birthCountry_USA,bats_L,throws_L,duration
abramcj01,0,0,0,0,0.246478873,0.281879195,0.323943662,0.605822857,0.176056338,90,284,33,70,2,21,7,5,144,180,0.444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.492823261
abreujo02,0,0,0,0,0.291683488,0.356972696,0.506459427,0.863432122,0.219620509,1270,4954,697,1445,243,863,11,386,637,718,0.470110701,1,0,0,0.321428571,0.40625,0.464285714,0.870535714,0.142857143,7,28,2,9,1,5,0,2,3,1,0,1,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,8.514890792
acunaro01,0,0,0,0,0.277357539,0.372042068,0.517397882,0.88943995,0.293494705,514,1983,394,550,120,296,107,261,411,296,0.581329562,5,1,1,0.273684211,0.378378378,0.484210526,0.862588905,0.336842105,25,95,14,26,3,9,3,13,2,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4.446360979
adamecr01,0,0,0,0,0.213414634,0.289256198,0.283536585,0.572792784,0.234756098,176,328,32,70,2,22,2,30,373,437,0.460493827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.171906336
adamewi01,0,0,0,0,0.255329457,0.323503521,0.448158915,0.771662436,0.312015504,570,2064,301,527,94,280,25,203,507,363,0.582758621,3,1,0,0.193548387,0.318181818,0.322580645,0.640762463,0.419354839,30,93,6,18,2,6,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.375175397
adamsla01,0,0,0,0,0.262773723,0.335526316,0.467153285,0.8026796,0.343065693,117,137,30,36,7,26,11,14,251,235,0.516460905,1,1,0,0,0.5,0,0.5,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.082219347
adamsma01,0,0,0,0,0.257744734,0.308314088,0.462618753,0.77093284,0.26559273,856,2421,297,624,118,399,4,165,988,853,0.536664856,4,2,1,0.229166667,0.301886792,0.385416667,0.687303459,0.260416667,30,96,11,22,4,11,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,9.180202194
adamsri03,0,0,0,0,0.195020747,0.294545455,0.340248963,0.634794417,0.356846473,95,241,27,47,7,20,0,27,211,275,0.434156379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.325146991
adducji02,0,0,0,0,0.232323232,0.284705882,0.335858586,0.620564468,0.28030303,151,396,48,92,5,39,7,29,370,441,0.45622688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5.749604715
adelljo01,0,0,0,0,0.214559387,0.259927798,0.356321839,0.616249637,0.37164751,161,522,48,112,15,60,6,26,176,208,0.458333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.171160257
