playerID,candidate,inducted,inducted_percent,max_percent,ERA,avg_opp,obp_opp,so_per,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BFP,W_team,L_team,W_team_percent,Div_w,Lg_w,WS_w,W_post,L_post,G_post,GS_post,CG_post,SHO_post,SV_post,IPouts_post,H_post,ER_post,HR_post,BB_post,SO_post,BFP_post,GP_allstar,startingPos_allstar,Pitching_Triple_Crown,Most_Valuable_Player,Rookie_of_the_Year,Babe_Ruth_Award,Lou_Gehrig_Memorial_Award,World_Series_MVP,Cy_Young_Award,Gold_Glove,All-Star_Game_MVP,Hutch_Award,Roberto_Clemente_Award,Rolaids_Relief_Man_Award,NLCS_MVP,ALCS_MVP,Silver_Slugger,birthCountry_USA,bats_L,throws_L,duration
ryanno01,1.0000000 ,1.0000000 ,0.9879276 ,0.9879276 ,3.193278871,0.173776301,0.297585825,9.548087635,324,292,807,773,222,61,3,16158,3923,1911,321,2795,5714,22575,2171,2143,0.503245248,5,1,1,2,2,9,7,1,0,1,176,39,20,3,14,63,226,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,27.03409379
niekrph01,1.0000000 ,1.0000000 ,0.8033827 ,0.8033827 ,3.350644545,0.222428011,0.302200467,5.565533831,318,274,864,716,245,45,29,16213,5044,2012,482,1809,3342,22677,2037,2104,0.491910167,2,0,0,0,1,2,2,0,0,0,42,15,6,0,8,9,63,2,0,0,0,0,0,1,0,0,5,0,0,1,0,0,0,0,1,0,0,23.45291142
perryga01,1.0000000 ,1.0000000 ,0.7720090 ,0.7720090 ,3.105227089,0.224935089,0.287751105,5.944676344,314,265,777,690,303,53,11,16051,4938,1846,399,1379,3534,21953,2058,1927,0.516436637,2,1,0,1,1,2,2,1,0,0,44,19,10,1,3,11,70,5,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,21.44054977
suttodo01,1.0000000 ,1.0000000 ,0.8160677 ,0.8160677 ,3.261058875,0.216910915,0.278997735,6.089354452,324,256,774,756,178,58,5,15847,4692,1914,472,1343,3574,21631,2146,1842,0.538114343,7,6,1,6,4,15,14,3,1,0,301,92,41,12,16,61,407,4,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,22.32489373
blylebe01,1.0000000 ,1.0000000 ,0.7969019 ,0.7969019 ,3.3138833,0.226050461,0.29056659,6.702012072,287,250,692,685,242,60,0,14910,4632,1830,430,1322,3701,20491,1914,1901,0.501703801,3,2,2,5,1,8,6,1,0,0,142,43,13,5,8,36,193,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.33584536
spahnwa01,1.0000000 ,1.0000000 ,0.8315789 ,0.8315789 ,3.086008518,0.224161136,0.290713324,4.433348166,363,245,750,665,382,63,29,15731,4830,1798,434,1434,2583,21547,1820,1601,0.532008185,0,3,1,4,3,8,6,3,1,0,168,47,19,5,13,32,224,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,23.45564933
roberro01,1.0000000 ,1.0000000 ,0.8685567 ,0.8685567 ,3.405232475,0.238969438,0.286012308,4.524313949,286,245,676,609,305,45,25,14066,4582,1774,505,902,2357,19174,1570,1720,0.477203647,0,1,0,0,1,2,1,1,0,0,33,11,2,1,3,5,47,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,18.21255741
carltst01,1.0000000 ,1.0000000 ,0.9561404 ,0.9561404 ,3.215435727,0.215468339,0.300004612,7.134679274,329,244,741,709,254,55,2,15652,4672,1864,414,1833,4136,21683,2249,2061,0.521809745,7,5,3,6,6,16,14,1,0,0,298,96,36,7,51,84,429,5,2,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,1,1,23.03401165
wynnea01,1.0000000 ,1.0000000 ,0.7601010 ,0.7601010 ,3.541630149,0.221094394,0.312551525,4.60254163,300,244,691,612,290,49,15,13692,4291,1796,338,1775,2334,19408,1881,1677,0.528667791,0,2,0,1,2,4,4,0,0,0,60,23,11,2,6,15,89,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,24.00323073
kaatji01,1.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,3.452726069,0.242863902,0.299794985,4.88904422,283,237,898,625,180,31,18,13591,4620,1738,395,1083,2461,19023,2359,2083,0.531067087,7,2,1,1,3,9,5,1,0,0,74,30,11,1,8,10,113,2,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,1,1,1,23.91561771
