playerID,candidate,inducted,inducted_percent,max_percent,ERA,avg_opp,obp_opp,so_per,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BFP,W_team,L_team,W_team_percent,Div_w,Lg_w,WS_w,W_post,L_post,G_post,GS_post,CG_post,SHO_post,SV_post,IPouts_post,H_post,ER_post,HR_post,BB_post,SO_post,BFP_post,GP_allstar,startingPos_allstar,Pitching_Triple_Crown,Most_Valuable_Player,Rookie_of_the_Year,Babe_Ruth_Award,Lou_Gehrig_Memorial_Award,World_Series_MVP,Cy_Young_Award,Gold_Glove,All-Star_Game_MVP,Hutch_Award,Roberto_Clemente_Award,Rolaids_Relief_Man_Award,NLCS_MVP,ALCS_MVP,Silver_Slugger,birthCountry_USA,bats_L,throws_L,duration
abadfe01,0,0,0,0,3.772248804,0.224172856,0.307224848,5.286968265,8,29,400,6,0,0,2,1045,332,146,43,123,290,1481,803,979,0.450617284,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11.18161222
abbotco01,0,0,0,0,5.647959184,0.214765101,0.33557047,5.16442953,0,5,23,10,0,0,0,196,64,41,19,36,57,298,126,198,0.388888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.333360712
abreual01,0,0,0,0,4.460869565,0.194690265,0.321533923,5.973451327,4,3,63,0,0,0,1,230,66,38,14,43,75,339,357,351,0.504237288,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.160208629
abreubr01,0,0,0,0,3.156923077,0.184381779,0.301518438,8.199566161,7,3,97,0,0,0,3,325,85,38,6,54,140,461,337,209,0.617216117,3,3,1,0,0,11,0,0,0,0,36,6,2,1,6,19,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.184185849
acevedo01,0,0,0,0,3.31779661,0.190322581,0.258064516,5.835483871,4,4,80,0,0,0,4,236,59,29,12,21,67,310,146,178,0.450617284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2895542
adamja01,0,0,0,0,3.303529412,0.164359862,0.261245675,7.941176471,8,7,146,0,0,0,8,425,95,52,18,56,170,578,316,392,0.446327684,1,0,0,0,0,1,0,0,0,0,6,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.402554467
adamsau01,0,0,0,0,6.451327434,0.262247839,0.360230548,4.5129683,2,0,68,0,0,0,1,226,91,54,12,34,58,347,408,399,0.505576208,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.98572866
adamsau02,0,0,0,0,3.896907216,0.129330254,0.284064665,9.228637413,6,4,108,2,0,0,0,291,56,42,6,67,148,433,545,487,0.528100775,1,1,1,1,0,4,0,0,0,0,5,0,1,0,2,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.744792843
adamsch01,0,0,0,0,8.424,0.313131313,0.388888889,4.5,1,2,22,1,0,0,1,125,62,39,11,15,33,198,229,155,0.596354167,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.138305372
adlemti01,0,0,0,0,4.96875,0.229828851,0.316625917,5.116136919,9,15,43,33,0,0,0,576,188,106,42,71,155,818,136,188,0.419753086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.388118853
adonjo01,0,0,0,0,6.814285714,0.245508982,0.371257485,5.173652695,1,12,15,15,0,0,0,210,82,53,9,42,64,334,120,204,0.37037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.761138148
agrazda01,0,0,0,0,4.909090909,0.255451713,0.31152648,3.448598131,4,5,15,14,0,0,0,220,82,40,15,18,41,321,69,93,0.425925926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.282004422
aguilmi01,0,0,0,0,6.428571429,0.206896552,0.344827586,2.793103448,1,1,9,0,0,0,0,21,6,5,0,4,3,29,52,110,0.320987654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.123205815
akinke01,0,0,0,0,4.981878089,0.236238532,0.316513761,6.006880734,6,15,77,24,0,0,2,607,206,112,30,70,194,872,160,224,0.416666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2.143781186
alanirj01,0,0,0,0,8.345454545,0.238095238,0.357142857,5.142857143,1,0,15,0,0,0,0,55,20,17,4,10,16,84,226,260,0.465020576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.283414444
alberan01,0,0,0,0,4.575178998,0.259803922,0.315359477,4.014705882,8,8,31,21,1,1,1,419,159,71,27,34,91,612,369,441,0.455555556,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.112418462
alberma01,0,0,0,0,4.351778656,0.228406326,0.323905109,4.688868613,47,48,616,24,0,0,7,2277,751,367,87,314,571,3288,1191,1239,0.490123457,2,0,0,0,0,2,0,0,0,0,7,1,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,13.18028433
albural01,0,0,0,0,3.159183673,0.178947368,0.308133971,7.518660287,17,8,264,0,0,0,1,735,187,86,17,135,291,1045,661,634,0.51042471,4,1,0,1,1,14,0,0,0,0,30,7,6,2,6,14,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.464198443
alcaljo01,0,0,0,0,3.3878327,0.202941176,0.273529412,7.226470588,5,7,79,0,0,0,1,263,69,33,13,24,91,340,288,258,0.527472527,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.554467238
alcanra01,0,0,0,0,7.18705036,0.251184834,0.327014218,3.327014218,2,5,13,9,0,0,0,139,53,37,14,16,26,211,144,180,0.444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.067783733
alcansa01,0,0,0,0,3.104748603,0.203221385,0.280328992,5.903358465,34,43,118,110,9,3,0,2148,593,247,69,225,638,2918,370,499,0.425776755,0,0,0,1,1,2,2,0,0,0,38,11,6,2,4,12,55,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.076079591
alcanvi01,0,0,0,0,4.275,0.241176471,0.314705882,3.970588235,4,3,79,0,0,0,0,240,82,38,14,25,50,340,175,310,0.360824742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06711979
alexaja01,0,0,0,0,5.4,0.274143302,0.361370717,3.869158879,2,3,18,11,0,0,0,215,88,43,12,28,46,321,86,76,0.530864198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.301169771
alexasc01,0,0,0,0,2.995502249,0.218954248,0.312636166,5,12,9,228,5,0,0,9,667,201,74,15,86,170,918,684,511,0.572384937,4,3,2,0,0,4,0,0,0,0,7,1,2,0,2,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,7.085703334
alexaty01,0,0,0,0,4.358744395,0.253754941,0.308300395,4.887747036,9,22,95,42,0,0,0,892,321,144,51,69,229,1265,213,330,0.392265193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3.260847245
alexyaj01,0,0,0,0,6.3,0.17037037,0.362962963,4.6,4,2,9,4,0,0,0,90,23,21,5,26,23,135,128,196,0.395061728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.037666756
allarko01,0,0,0,0,6.073065903,0.244163424,0.321984436,5.016536965,9,23,65,35,0,0,1,698,251,157,48,80,191,1028,318,390,0.449152542,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4.180784
alldrca01,0,0,0,0,0,0.25,0.25,6.75,0,0,1,0,0,0,0,3,1,0,0,0,1,4,62,100,0.382716049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.002737907
allenco01,0,0,0,0,3.144500359,0.193000515,0.292331446,8.240349974,24,31,481,0,0,0,153,1391,375,162,55,193,593,1943,685,609,0.529366306,3,1,0,0,0,17,0,0,0,7,61,18,7,2,10,35,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.902263565
allenlo01,0,0,0,0,5.885813149,0.269406393,0.365296804,4.191780822,5,10,33,15,0,0,0,289,118,63,17,42,68,438,453,417,0.520689655,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2.910395148
allgeni01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,3,91,71,0.561728395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.002737907
almonmi01,0,0,0,0,8.660377358,0.24137931,0.379310345,5.275862069,0,2,19,0,0,0,0,53,21,17,5,12,17,87,255,231,0.524691358,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.080145383
almonye01,0,0,0,0,4.349372385,0.211143695,0.303519062,5.780058651,4,4,147,0,0,0,2,478,144,77,21,63,146,682,373,335,0.526836158,1,0,0,0,1,3,0,0,0,0,7,2,2,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.293038187
